Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Stary kod stacji;WskaŸnik;Czas uœredniania;Œrednia;Min;Maks;Liczba pomiarów;Kompletnoœæ ;Liczba Lato/Zima
2010;mazowieckie;PL1403;miasto Radom;MzRadTochter;MzRadomTochter;PM2.5;24g;32,4;4,9;121,3;205;56,2;0,6
2010;mazowieckie;PL1404;strefa mazowiecka;MzPiasPulask;MzPiastowPulask;PM2.5;24g;26,3;4,2;79,4;237;64,9;1,6
2010;opolskie;PL1601;miasto Opole;OpOpoleOsAKr;OpOpole4pyl;PM2.5;24g;26,7;1,0;178,0;314;86,0;0,7
2010;opolskie;PL1602;strefa opolska;OpKKozBSmial;OpKkozle1a;PM2.5;1g;39,5;1,0;429,0;7544;86,1;1,1
2010;opolskie;PL1602;strefa opolska;OpKluczMicki;OpKlucz2pyl;PM2.5;24g;31,8;2,0;191,0;146;40,0;0,6
2010;podkarpackie;PL1801;miasto Rzeszów;PkRzeszRejta;PkRzeszWIOSNoweMiasto;PM2.5;24g;27,9;4,0;218,2;318;87,1;1,3
2010;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;1g;50,7;13,0;595,0;8134;92,9;1,0
2010;podkarpackie;PL1801;miasto Rzeszów;PkRzeszWIOSSzop;PkRzeszWIOSSzop;PM2.5;24g;24,5;3,3;113,6;323;88,5;1,2
2010;podkarpackie;PL1802;strefa podkarpacka;PkJasloSikor;PkJasloWIOSSikorskiego;PM2.5;1g;42,4;0,8;476,0;5841;66,7;1,2
2010;podkarpackie;PL1802;strefa podkarpacka;PkKrosKletow;PkKrosnoWIOSKletowki;PM2.5;24g;29,7;4,7;171,6;310;84,9;1,3
2010;podkarpackie;PL1802;strefa podkarpacka;PkNiskoSzkla;PkNiskoWIOSSzklar;PM2.5;24g;26,3;2,2;137,7;301;82,5;1,4
2010;podkarpackie;PL1802;strefa podkarpacka;PkPrzemyslWIOSMick;PkPrzemyslWIOSMick;PM2.5;1g;41,3;0,7;368,8;6549;74,8;0,8
2010;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWarsza;PdBialyWarszawska;PM2.5;24g;23,7;3,0;133,0;282;77,3;1,1
2010;podlaskie;PL2001;Aglomeracja Bia³ostocka;PdBialWaszyn;PdBialyMiejska;PM2.5;1g;23,9;0,0;281,0;8536;97,4;1,0
2010;podlaskie;PL2002;strefa podlaska;PdLomSikorsk;PdLomzaSikorskiego;PM2.5;24g;26,6;1,8;137,1;304;83,3;1,3
2010;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLecz08m;Pm.aw08m;PM2.5;24g;23,0;1,9;114,3;243;66,6;1,7
2010;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaLeczk08;Pm.a08a;PM2.5;1g;20,5;0,8;262,1;8639;98,6;1,0
2010;pomorskie;PL2201;Aglomeracja Trójmiejska;PmGdaPowWiel;Pm.01w.02m;PM2.5;24g;20,0;4,0;124,0;185;50,7;1,5
2010;pomorskie;PL2202;strefa pomorska;Pm.63.wDSMm;Pm.63.wDSMm;PM2.5;24g;19,2;1,0;89,0;282;77,3;0,8
2010;pomorskie;PL2202;strefa pomorska;Pm.aw07m;Pm.aw07m;PM2.5;24g;20,4;5,0;95,0;266;72,9;1,3
2010;pomorskie;PL2202;strefa pomorska;PmSlupKniazi;Pm.63.wDSAa;PM2.5;24g;19,2;1,0;89,0;282;77,3;0,8
2010;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;1g;45,8;1,0;624,0;8256;94,2;1,0
2010;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlGliwicMewy;SlGliwiGliw_mewy;PM2.5;24g;42,9;5,0;219,0;350;95,9;0,9
2010;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;1g;44,5;1,0;641,0;8120;92,7;1,1
2010;œl¹skie;PL2401;Aglomeracja Górnoœl¹ska;SlKatoKossut;SlKatowKato_kossu;PM2.5;24g;42,1;1,6;229,6;355;97,3;1,0
2010;œl¹skie;PL2402;Aglomeracja Rybnicko-Jastrzêbska;SlZorySikors;SlZoryzZory_sikor;PM2.5;24g;44,3;5,0;227,0;328;89,9;1,2
2010;œl¹skie;PL2403;miasto Bielsko-Bia³a;SlBielSterni;SlBielbBiel_stern;PM2.5;24g;42,3;5,0;418,0;357;97,8;1,0
